naslov,leto,oskar,stevilo
The Great Beauty,2013,TRUE,1
20 Feet from Stardom,2013,FALSE,0
20 Feet from Stardom,2013,TRUE,1
Argo,2012,FALSE,4
Argo,2012,TRUE,3
Life of Pi,2012,FALSE,7
Life of Pi,2012,TRUE,4
Les Misérables,2012,FALSE,5
Les Misérables,2012,TRUE,3
Lincoln,2012,FALSE,10
Lincoln,2012,TRUE,2
Django Unchained,2012,FALSE,3
Django Unchained,2012,TRUE,2
Skyfall,2012,FALSE,3
Skyfall,2012,TRUE,2
Silver Linings Playbook,2012,FALSE,7
Silver Linings Playbook,2012,TRUE,1
Zero Dark Thirty,2012,FALSE,4
Zero Dark Thirty,2012,TRUE,1
Amour,2012,FALSE,4
Amour,2012,TRUE,1
Anna Karenina,2012,FALSE,3
Anna Karenina,2012,TRUE,1
Paperman,2012,FALSE,0
Paperman,2012,TRUE,1
Brave,2012,FALSE,0
Brave,2012,TRUE,1
Searching for Sugar Man,2012,FALSE,0
Searching for Sugar Man,2012,TRUE,1
Inocente,2012,FALSE,0
Inocente,2012,TRUE,1
Curfew,2012,FALSE,0
Curfew,2012,TRUE,1
The Artist,2011,FALSE,5
The Artist,2011,TRUE,5
Hugo,2011,FALSE,6
Hugo,2011,TRUE,5
The Iron Lady,2011,FALSE,0
The Iron Lady,2011,TRUE,2
The Descendants,2011,FALSE,4
The Descendants,2011,TRUE,1
The Girl with the Dragon Tattoo,2011,FALSE,4
The Girl with the Dragon Tattoo,2011,TRUE,1
Midnight in Paris,2011,FALSE,3
Midnight in Paris,2011,TRUE,1
The Help,2011,FALSE,3
The Help,2011,TRUE,1
A Separation,2011,FALSE,1
A Separation,2011,TRUE,1
The Fantastic Flying Books of Mr. Morris Lessmore,2011,FALSE,0
The Fantastic Flying Books of Mr. Morris Lessmore,2011,TRUE,1
The Shore,2011,FALSE,0
The Shore,2011,TRUE,1
Undefeated,2011,FALSE,0
Undefeated,2011,TRUE,1
The Muppets,2011,FALSE,0
The Muppets,2011,TRUE,1
Saving Face,2011,FALSE,0
Saving Face,2011,TRUE,1
Beginners,2011,FALSE,0
Beginners,2011,TRUE,1
Rango,2011,FALSE,0
Rango,2011,TRUE,1
The King's Speech,2010,FALSE,8
The King's Speech,2010,TRUE,4
Inception,2010,FALSE,4
Inception,2010,TRUE,4
The Social Network,2010,FALSE,5
The Social Network,2010,TRUE,3
The Fighter,2010,FALSE,5
The Fighter,2010,TRUE,2
Toy Story 3,2010,FALSE,3
Toy Story 3,2010,TRUE,2
Alice in Wonderland,2010,FALSE,1
Alice in Wonderland,2010,TRUE,2
Black Swan,2010,FALSE,4
Black Swan,2010,TRUE,1
In a Better World,2010,FALSE,0
In a Better World,2010,TRUE,1
The Lost Thing,2010,FALSE,0
The Lost Thing,2010,TRUE,1
God of Love,2010,FALSE,0
God of Love,2010,TRUE,1
The Wolfman,2010,FALSE,0
The Wolfman,2010,TRUE,1
Strangers No More,2010,FALSE,0
Strangers No More,2010,TRUE,1
Inside Job,2010,FALSE,0
Inside Job,2010,TRUE,1
The Hurt Locker,2009,FALSE,3
The Hurt Locker,2009,TRUE,6
Avatar,2009,FALSE,6
Avatar,2009,TRUE,3
Precious,2009,FALSE,4
Precious,2009,TRUE,2
Up,2009,FALSE,3
Up,2009,TRUE,2
Crazy Heart,2009,FALSE,1
Crazy Heart,2009,TRUE,2
Inglourious Basterds,2009,FALSE,7
Inglourious Basterds,2009,TRUE,1
Star Trek,2009,FALSE,3
Star Trek,2009,TRUE,1
The Young Victoria,2009,FALSE,2
The Young Victoria,2009,TRUE,1
The Blind Side,2009,FALSE,1
The Blind Side,2009,TRUE,1
Music by Prudence,2009,FALSE,0
Music by Prudence,2009,TRUE,1
The Secret in Their Eyes,2009,FALSE,0
The Secret in Their Eyes,2009,TRUE,1
The Cove,2009,FALSE,0
The Cove,2009,TRUE,1
The New Tenants,2009,FALSE,0
The New Tenants,2009,TRUE,1
Logorama,2009,FALSE,0
Logorama,2009,TRUE,1
Slumdog Millionaire,2008,FALSE,2
Slumdog Millionaire,2008,TRUE,8
The Curious Case of Benjamin Button,2008,FALSE,10
The Curious Case of Benjamin Button,2008,TRUE,3
Milk,2008,FALSE,6
Milk,2008,TRUE,2
The Dark Knight,2008,FALSE,6
The Dark Knight,2008,TRUE,2
WALL-E,2008,FALSE,5
WALL-E,2008,TRUE,1
The Reader,2008,FALSE,4
The Reader,2008,TRUE,1
The Duchess,2008,FALSE,1
The Duchess,2008,TRUE,1
Departures,2008,FALSE,0
Departures,2008,TRUE,1
Vicky Cristina Barcelona,2008,FALSE,0
Vicky Cristina Barcelona,2008,TRUE,1
Smile Pinki,2008,FALSE,0
Smile Pinki,2008,TRUE,1
Man on Wire,2008,FALSE,0
Man on Wire,2008,TRUE,1
Toyland,2008,FALSE,0
Toyland,2008,TRUE,1
La Maison en Petits Cubes,2008,FALSE,0
La Maison en Petits Cubes,2008,TRUE,1
No Country for Old Men,2007,FALSE,4
No Country for Old Men,2007,TRUE,4
The Bourne Ultimatum,2007,FALSE,0
The Bourne Ultimatum,2007,TRUE,3
There Will Be Blood,2007,FALSE,6
There Will Be Blood,2007,TRUE,2
La Vie en rose,2007,FALSE,1
La Vie en rose,2007,TRUE,2
Atonement,2007,FALSE,6
Atonement,2007,TRUE,1
Michael Clayton,2007,FALSE,6
Michael Clayton,2007,TRUE,1
Ratatouille,2007,FALSE,4
Ratatouille,2007,TRUE,1
Juno,2007,FALSE,3
Juno,2007,TRUE,1
Sweeney Todd: The Demon Barber of Fleet Street,2007,FALSE,2
Sweeney Todd: The Demon Barber of Fleet Street,2007,TRUE,1
The Golden Compass,2007,FALSE,1
The Golden Compass,2007,TRUE,1
Elizabeth: The Golden Age,2007,FALSE,1
Elizabeth: The Golden Age,2007,TRUE,1
Taxi to the Dark Side,2007,FALSE,0
