naslov,leto,oskar,stevilo
Born into Brothels,2004,True,1
Born on the Fourth of July,1989,False,6
Born on the Fourth of July,1989,True,2
Bound for Glory,1976,False,4
Bound for Glory,1976,True,2
Bowling for Columbine,2002,False,0
Bowling for Columbine,2002,True,1
Boyhood,2014,False,5
Boyhood,2014,True,1
Boys Don't Cry,1999,False,1
Boys Don't Cry,1999,True,1
Boys Town,1938,False,3
Boys Town,1938,True,2
Boys and Girls,1983,False,0
Boys and Girls,1983,True,1
Bram Stoker's Dracula,1992,False,1
Bram Stoker's Dracula,1992,True,3
Brave,2012,False,0
Brave,2012,True,1
Braveheart,1995,False,5
Braveheart,1995,True,5
Breakfast at Tiffany's,1961,False,3
Breakfast at Tiffany's,1961,True,2
Breaking Away,1979,False,4
Breaking Away,1979,True,1
Breaking the Sound Barrier,1952,False,1
Breaking the Sound Barrier,1952,True,1
Breathing Lessons: The Life and Work of Mark O'Brien,1996,False,0
Breathing Lessons: The Life and Work of Mark O'Brien,1996,True,1
Bridge of Spies,2015,False,5
Bridge of Spies,2015,True,1
Broadway Melody of 1936,1935,False,2
Broadway Melody of 1936,1935,True,1
Brokeback Mountain,2005,False,5
Brokeback Mountain,2005,True,3
Broken Lance,1954,False,1
Broken Lance,1954,True,1
Broken Rainbow,1985,False,0
Broken Rainbow,1985,True,1
Bugsy,1991,False,8
Bugsy,1991,True,2
Bullets Over Broadway,1994,False,6
Bullets Over Broadway,1994,True,1
Bullitt,1968,False,1
Bullitt,1968,True,1
Bunny,1998,False,0
Bunny,1998,True,1
Burnt by the Sun,1994,False,0
Burnt by the Sun,1994,True,1
Busy Little Bears,1939,False,0
Busy Little Bears,1939,True,1
Butch Cassidy and the Sundance Kid,1969,False,3
Butch Cassidy and the Sundance Kid,1969,True,4
Butterflies Are Free,1972,False,2
Butterflies Are Free,1972,True,1
CODA,2021,False,0
CODA,2021,True,3
Cabaret,1972,False,2
Cabaret,1972,True,8
Cactus Flower,1969,False,0
Cactus Flower,1969,True,1
Calamity Jane,1953,False,2
Calamity Jane,1953,True,1
California Suite,1978,False,2
California Suite,1978,True,1
Call Me Madam,1953,False,1
Call Me Madam,1953,True,1
Call Me by Your Name,2017,False,3
Call Me by Your Name,2017,True,1
Camelot,1967,False,2
Camelot,1967,True,3
Capote,2005,False,4
Capote,2005,True,1
"Captain Carey, U.S.A.",1950,False,0
"Captain Carey, U.S.A.",1950,True,1
Captains Courageous,1937,False,3
Captains Courageous,1937,True,1
Casablanca,1943,False,5
Casablanca,1943,True,3
Casals Conducts: 1964,1964,False,0
Casals Conducts: 1964,1964,True,1
Cat Ballou,1965,False,4
Cat Ballou,1965,True,1
Cavalcade,1932,False,1
Cavalcade,1932,True,3
Chagall,1963,False,0
Chagall,1963,True,1
Champion,1949,False,5
Champion,1949,True,1
Character,1997,False,0
Character,1997,True,1
Charade,1984,False,0
Charade,1984,True,1
Chariots of Fire,1981,False,3
Chariots of Fire,1981,True,4
Charly,1968,False,0
Charly,1968,True,1
Chernobyl Heart,2003,False,0
Chernobyl Heart,2003,True,1
Chicago,2002,False,7
Chicago,2002,True,6
Children of a Lesser God,1986,False,4
Children of a Lesser God,1986,True,1
Chinatown,1974,False,10
Chinatown,1974,True,1
Churchill's Island,1941,False,0
Churchill's Island,1941,True,1
Cimarron,1930,False,4
Cimarron,1930,True,3
Cinema Paradiso,1989,False,0
Cinema Paradiso,1989,True,1
Citizen Kane,1941,False,8
Citizen Kane,1941,True,1
Citizenfour,2014,False,0
Citizenfour,2014,True,1
City Slickers,1991,False,0
City Slickers,1991,True,1
City of Wax,1934,False,0
City of Wax,1934,True,1
Cleopatra,1934,False,4
Cleopatra,1934,True,1
Cleopatra,1963,False,5
Cleopatra,1963,True,4
Climbing the Matterhorn,1947,False,0
Climbing the Matterhorn,1947,True,1
Close Encounters of the Third Kind,1977,False,7
Close Encounters of the Third Kind,1977,True,1
Close Harmony,1981,False,0
Close Harmony,1981,True,1
Closed Mondays,1974,False,0
Closed Mondays,1974,True,1
Closely Watched Trains,1967,False,0
Closely Watched Trains,1967,True,1
Coal Miner's Daughter,1980,False,6
Coal Miner's Daughter,1980,True,1
Coco,2017,False,0
Coco,2017,True,2
Cocoon,1985,False,0
Cocoon,1985,True,2
Cold Mountain,2003,False,6
Cold Mountain,2003,True,1
Colette,2020,False,0
Colette,2020,True,1
"Come Back, Little Sheba",1952,False,2
"Come Back, Little Sheba",1952,True,1
Come and Get It,1936,False,1
Come and Get It,1936,True,1
Coming Home,1978,False,5
Coming Home,1978,True,3
Common Threads: Stories from the Quilt,1989,False,0
Common Threads: Stories from the Quilt,1989,True,1
Cool Hand Luke,1967,False,3
Cool Hand Luke,1967,True,1
Coquette,1928,False,0
Coquette,1928,True,1
Cover Girl,1944,False,4
Cover Girl,1944,True,1
Crac,1981,False,0
Crac,1981,True,1
Crash,2005,False,3
Crash,2005,True,3
Crash Dive,1943,False,0
Crash Dive,1943,True,1
Crashing the Water Barrier,1956,False,0
Crashing the Water Barrier,1956,True,1
Crazy Heart,2009,False,1
Crazy Heart,2009,True,2
Creature Comforts,1990,False,0
Creature Comforts,1990,True,1
Cries and Whispers,1973,False,4
Cries and Whispers,1973,True,1
Crisis Hotline: Veterans Press 1,2014,False,0
Crisis Hotline: Veterans Press 1,2014,True,1
Cromwell,1970,False,1
Cromwell,1970,True,1
"Crouching Tiger, Hidden Dragon",2000,False,6
"Crouching Tiger, Hidden Dragon",2000,True,4
Cruella,2021,False,1
Cruella,2021,True,1
Curfew,2012,False,0
Curfew,2012,True,1
Cyrano de Bergerac,1950,False,0
Cyrano de Bergerac,1950,True,1
Cyrano de Bergerac,1990,False,4
Cyrano de Bergerac,1990,True,1
Czechoslovakia 1968,1969,False,0
Czechoslovakia 1968,1969,True,1
Dallas Buyers Club,2013,False,3
Dallas Buyers Club,2013,True,3
Dances with Wolves,1990,False,5
Dances with Wolves,1990,True,7
Dangerous,1935,False,0
Dangerous,1935,True,1
Dangerous Liaisons,1988,False,4
Dangerous Liaisons,1988,True,3
Dangerous Moves,1984,False,0
Dangerous Moves,1984,True,1
Darkest Hour,2017,False,4
Darkest Hour,2017,True,2
Darling,1965,False,2
Darling,1965,True,3
Day for Night,1973,False,3
Day for Night,1973,True,1
Day of the Painter,1960,False,0
Day of the Painter,1960,True,1
Daybreak in Udi,1949,False,0
Daybreak in Udi,1949,True,1
Days of Heaven,1978,False,3
Days of Heaven,1978,True,1
Days of Waiting,1990,False,0
Days of Waiting,1990,True,1
Days of Wine and Roses,1962,False,4
Days of Wine and Roses,1962,True,1
Dead Man Walking,1995,False,3
Dead Man Walking,1995,True,1
Dead Poets Society,1989,False,3
